"IEA.country.name","Product","Flow","2000"
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Domestic aviation",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Road",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Rail",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Pipeline transport",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; World marine bunkers",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Domestic navigation",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Residential",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Commercial and public services",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Agriculture/forestry",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Fishing",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Final consumption not elsewhere specified",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Non-energy use; Non-energy use in transport",1.06
"Ghana","Aviation gasoline","Total energy supply; Total final consumption; Non-energy use; Non-energy use in other",1.06
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Coal mines",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Oil and gas extraction",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Blast furnaces",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Gas works",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Gasification plants for biogases",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Coke ovens",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Patent fuel plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; BKB/peat briquette plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Oil refineries",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Coal liquefaction plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Pumped storage plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Nuclear industry",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Charcoal production plants",1.11
"Ghana","Bio jet kerosene","Total energy supply; Energy industry own use; Non-specified (energy)",1.11
"Ghana","Bio jet kerosene","Total energy supply; Losses",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Mining and quarrying",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Construction",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; World aviation bunkers",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Domestic aviation",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Road",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Rail",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Pipeline transport",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; World marine bunkers",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Domestic navigation",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Residential",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Commercial and public services",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Agriculture/forestry",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Fishing",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Final consumption not elsewhere specified",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Non-energy use; Non-energy use in transport",1.11
"Ghana","Bio jet kerosene","Total energy supply; Total final consumption; Non-energy use; Non-energy use in other",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Coal mines",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Oil and gas extraction",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Blast furnaces",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Gas works",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Gasification plants for biogases",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Coke ovens",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Patent fuel plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; BKB/peat briquette plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Oil refineries",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Coal liquefaction plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Pumped storage plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Nuclear industry",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Charcoal production plants",1.11
"Ghana","Biodiesels","Total energy supply; Energy industry own use; Non-specified (energy)",1.11
"Ghana","Biodiesels","Total energy supply; Losses",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Mining and quarrying",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Construction",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; World aviation bunkers",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Domestic aviation",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Road",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Rail",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Pipeline transport",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; World marine bunkers",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Domestic navigation",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Residential",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Commercial and public services",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Agriculture/forestry",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Fishing",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Final consumption not elsewhere specified",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Non-energy use; Non-energy use in transport",1.11
"Ghana","Biodiesels","Total energy supply; Total final consumption; Non-energy use; Non-energy use in other",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Coal mines",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Oil and gas extraction",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Blast furnaces",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Gas works",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Gasification plants for biogases",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Coke ovens",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Patent fuel plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; BKB/peat briquette plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Oil refineries",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Coal liquefaction plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Pumped storage plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Nuclear industry",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Charcoal production plants",1.11
"Ghana","Biogases","Total energy supply; Energy industry own use; Non-specified (energy)",1.11
"Ghana","Biogases","Total energy supply; Losses",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Mining and quarrying",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Construction",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; World aviation bunkers",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Domestic aviation",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Road",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Rail",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Pipeline transport",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; World marine bunkers",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Domestic navigation",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Residential",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Commercial and public services",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Agriculture/forestry",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Fishing",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Final consumption not elsewhere specified",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Non-energy use; Non-energy use industry/transformation/energy",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Non-energy use; Non-energy use in transport",1.11
"Ghana","Biogases","Total energy supply; Total final consumption; Non-energy use; Non-energy use in other",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Coal mines",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Oil and gas extraction",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Blast furnaces",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Gas works",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Gasification plants for biogases",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Coke ovens",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Patent fuel plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; BKB/peat briquette plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Oil refineries",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Coal liquefaction plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Pumped storage plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Nuclear industry",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Charcoal production plants",1.11
"Ghana","Biogasoline","Total energy supply; Energy industry own use; Non-specified (energy)",1.11
"Ghana","Biogasoline","Total energy supply; Losses",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Mining and quarrying",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Construction",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Transport; World aviation bunkers",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Transport; Domestic aviation",1.11
"Ghana","Biogasoline","Total energy supply; Total final consumption; Transport; Road",1.11
